2021-11-24 12:56:32,703 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\30.txt
2021-11-24 12:56:32,710 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.04,0.],[0.04,0.04],[0.5,0.04],[0.96,0.04],[0.96,0.],[1.,0.]],[[0.,0.],[0.,0.04],[0.04,0.04],[0.5,0.04],[0.96,0.04],[1.,0.04],[1.,0.]],[[0.,0.],[0.04,0.],[0.04,0.04],[0.5,0.04],[0.96,0.04],[0.96,0.],[1.,0.]],[[0.,0.],[0.,0.04],[0.04,0.04],[0.5,0.04],[0.96,0.04],[1.,0.04],[1.,0.]]]]
2021-11-24 12:56:32,715 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,715 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\31.txt
2021-11-24 12:56:32,720 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.04,0.],[0.04,0.04],[0.5,0.04],[0.96,0.04],[0.96,0.],[1.,0.]],[[0.,0.],[0.,0.04],[0.04,0.04],[0.5,0.04],[0.96,0.04],[1.,0.04],[1.,0.]],[[0.,0.],[0.04,0.],[0.04,0.04],[0.5,0.04],[0.96,0.04],[0.96,0.],[1.,0.]],[[0.,0.],[0.,0.04],[0.04,0.04],[0.5,0.04],[0.96,0.04],[1.,0.04],[1.,0.]]]]
2021-11-24 12:56:32,725 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,732 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\32.txt
2021-11-24 12:56:32,780 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,785 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,786 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\33.txt
